序号,样本点数据
0,2.116959558
1,2.118227609
2,2.120711711
3,2.119566319
4,2.11768522
5,2.118841609
6,2.119191524
7,2.118248528
8,2.119133651
9,2.119425557
10,2.119546761
11,2.118793657
12,2.118740303
13,2.11785304
14,2.119915793
15,2.120789394
16,2.116784824
17,2.114440033
18,2.119513838
19,2.117038873
20,2.122502609
21,2.118487734
22,2.113726789
23,2.116433132
24,2.117229071
25,2.117408252
26,2.120111132
27,2.119034081
28,2.118558505
29,2.118551502
30,2.11926552
31,2.120042504
32,2.118565466
33,2.118745257
34,2.119969283
35,2.119563781
36,2.118291724
37,2.118626143
38,2.120159163
39,2.116384947
40,2.118550513
41,2.11229505
42,2.111673539
43,2.112142882
44,2.108728828
45,2.113907023
46,2.113973883
47,2.118000442
48,2.115870115
49,2.116679794
50,2.118372189
51,2.118405763
52,2.117690699
53,2.116705008
54,2.117824322
55,2.117116184
56,2.117810543
57,2.11853918
58,2.1182798
59,2.119994094
60,2.11666687
61,2.116712739
62,2.119337966
63,2.115850777
64,2.113918122
65,2.115002617
66,2.114867038
67,2.112940004
68,2.111558794
69,2.111923125
70,2.112429133
71,2.112028533
72,2.109936259
73,2.108711602
74,2.108918638
75,2.109479624
76,2.109498863
77,2.108712146
78,2.108524097
79,2.109682244
80,2.107829776
81,2.109196149
82,2.107986881
83,2.106567267
84,2.10732116
85,2.107721425
86,2.106950833
87,2.105716617
88,2.104954676
89,2.104244478
90,2.105158057
91,2.103640602
92,2.102932609
93,2.101542894
94,2.098503904
95,2.104697439
96,2.102547827
97,2.097734921
98,2.101212758
99,2.101978664
100,2.102014908
101,2.10503307
102,2.103455224
103,2.103950231
104,2.10662431
105,2.104231527
106,2.105681346
107,2.10744644
108,2.107392895
109,2.10591042
110,2.107656847
111,2.10658775
112,2.106636577
113,2.106168745
114,2.105704192
115,2.104007918
116,2.105663531
117,2.09957913
118,2.105412858
119,2.096592441
120,2.094760223
121,2.092966281
122,2.094074982
123,2.097652191
124,2.100012744
125,2.103498813
126,2.105417011
127,2.106011627
128,2.105090447
129,2.105503909
130,2.106768933
131,2.106578238
132,2.105912947
133,2.104685067
134,2.106723824
135,2.105344246
136,2.106531326
137,2.10398228
138,2.105341164
139,2.103639553
140,2.103204177
141,2.103989404
142,2.101815831
143,2.106357223
144,2.098511581
145,2.10206507
146,2.102507642
147,2.102827779
148,2.102152242
149,2.102145556
150,2.10346023
151,2.102182915
152,2.102533985
153,2.10242054
154,2.10315886
155,2.10141332
156,2.10229884
157,2.102849889
158,2.102220114
159,2.103197772
160,2.10361743
161,2.101802133
162,2.102711922
163,2.101812694
164,2.100528164
165,2.101123888
166,2.098586471
167,2.097687684
168,2.101209572
169,2.095619612
170,2.096743991
171,2.095682403
172,2.101837446
173,2.098981291
174,2.093508767
